,lon,lat,mcc,range,net,cell,averageSignal
18889,11.5251,48.1967,262,3709,1,27057921,-108
19022,11.5247,48.0778,262,903,1,43403,-102
19023,11.5389,48.0916,262,1438,1,43401,-66
19506,11.5572,48.168,262,2205,1,55226,-79
19518,11.5625,48.2334,262,6380,1,15640,-82
19519,11.6194,48.2335,262,6569,1,15601,-81
19523,11.5897,48.1377,262,2318,1,25988353,-84
19524,11.5756,48.1334,262,1030,1,29455362,-53
19525,11.588,48.137,262,2681,1,27184128,-120
19526,11.581,48.1506,262,1000,1,26511617,-52
19539,11.5891,48.1453,262,2204,1,31358976,-58
19546,11.6058,48.1844,262,517,1,26522369,-96
19575,11.5702,48.1718,262,2088,1,55016,-82
19614,11.5542,48.1766,262,6451,1,55051,-90
19752,11.5032,48.1933,262,1147,1,49389,-77
19754,11.4885,48.2013,262,1883,1,49432,-88
19769,11.5413,48.2166,262,1253,1,27148034,-58
19874,11.642,48.1377,262,1995,1,26504448,-115
19875,11.6466,48.1827,262,7239,1,31268865,-64
19895,11.5864,48.1633,262,2093,1,26504194,-103
19905,11.6352,48.134,262,5198,1,26504449,-83
19906,11.6488,48.1582,262,3631,1,27331072,-84
19907,11.5564,48.141,262,2032,1,30390274,-98
19945,11.6591,48.1401,262,844,1,27001602,-86
19946,11.6351,48.2321,262,2092,1,30232577,-60
20016,11.6995,48.1268,262,3296,1,27162112,-64
20017,11.7052,48.1236,262,1831,1,30236162,-77
20083,11.7187,48.1098,262,1766,1,29463298,-95
20085,11.7076,48.1139,262,3944,1,30236161,-82
20147,11.6915,48.1376,262,1000,1,26530817,-85
20488,11.4288,48.2002,262,2716,1,43427,-117
20490,11.4433,48.2018,262,2349,1,43404,-101
20503,11.4365,48.191,262,1191,1,43425,-85
20505,11.5108,48.2184,262,2800,1,43459,-83
20506,11.4942,48.2124,262,1725,1,43461,-82
20510,11.5167,48.2192,262,2373,1,43429,-79
20898,11.5277,48.203,262,9011,1,27057922,-81
20901,11.5174,48.0939,262,1354,1,2727,-105
20902,11.5035,48.0873,262,2340,1,54837,-60
20975,11.4974,48.092,262,1304,1,54890,-82
21160,11.5391,48.226,262,1023,1,43463,-120
21161,11.5202,48.2219,262,1828,1,43479,-81
21162,11.5248,48.2244,262,2856,1,43538,-104
21432,11.5978,48.1709,262,1960,1,28072960,-86
21575,11.5005,48.1425,262,4092,1,24126,-82
21764,11.5745,48.1297,262,1000,1,26523650,-88
21765,11.5767,48.128,262,1000,1,26523648,-86
21996,11.4447,48.1269,262,3401,1,49650,-87
22026,11.4577,48.125,262,4151,1,49635,-75
23149,11.6153,48.0879,262,2545,1,50879,-72
23338,11.5977,48.0905,262,3832,1,50881,-116
23363,11.6134,48.1875,262,4114,1,49456,-84
23916,11.3952,48.1242,262,4419,1,30230016,-88
23917,11.3943,48.1341,262,1204,1,30230018,-82
24081,11.586,48.1888,262,853,1,30066690,-117
24082,11.6275,48.2164,262,688,1,31102208,-88
24083,11.6128,48.1881,262,610,1,26522368,-89
24087,11.6783,48.1849,262,3268,1,26760192,-58
24088,11.5421,48.2121,262,1811,1,27148032,-86
24089,11.6256,48.2223,262,843,1,31101953,-82
24093,11.5939,48.176,262,575,1,26510082,-88
24122,11.5264,48.1108,262,1299,1,58132,-104
24155,11.5179,48.1176,262,1072,1,237,-95
25063,11.4043,48.1908,262,6180,1,30049024,-78
25310,11.5863,48.1681,262,1000,1,28072961,-81
25311,11.584,48.1882,262,1000,1,26513666,-102
25714,11.3616,48.1746,262,4755,1,30223360,-84
25860,11.3856,48.1171,262,6484,1,30230017,-51
25861,11.5317,48.1818,262,1000,1,26509825,-83
25895,11.5377,48.1467,262,2941,1,173,-59
26065,11.5268,48.1293,262,631,1,1009,-100
26075,11.5267,48.1281,262,3423,1,365,-100
26105,11.5333,48.1321,262,2897,1,364,-85
28086,11.5254,48.1334,262,4746,1,56714,-81
28105,11.5778,48.1479,262,2823,1,28081153,-87
28204,11.4824,48.1518,262,6509,1,11725,-79
30303,11.6127,48.154,262,4508,1,2634,-99
30788,11.3756,48.199,262,8363,1,30049026,-60
30789,11.3736,48.171,262,3784,1,30206208,-83
30799,11.5944,48.1389,262,529,1,25988352,-86
30800,11.5848,48.1394,262,1995,1,25986048,-86
30801,11.5807,48.1383,262,3079,1,25985283,-68
30802,11.581,48.1388,262,1000,1,25986049,-101
30803,11.5865,48.1421,262,1000,1,26515715,-73
30804,11.5679,48.135,262,1000,1,26514689,-88
30805,11.5557,48.1532,262,1000,1,26516992,-79
30806,11.5785,48.1439,262,2399,1,26511107,-89
30807,11.5566,48.1349,262,1000,1,26528515,-51
30808,11.5707,48.1382,262,1778,1,25985285,-116
30809,11.5585,48.1335,262,1000,1,25986561,-87
30810,11.5813,48.1411,262,2344,1,25986307,-95
30812,11.5672,48.1389,262,1000,1,25986308,-83
30813,11.5664,48.1407,262,1109,1,25986309,-109
30814,11.5744,48.1556,262,1000,1,26515460,-74
30815,11.5515,48.1351,262,1000,1,26528517,-86
30816,11.5703,48.1322,262,1000,1,27046658,-70
30817,11.5755,48.151,262,1831,1,26526208,-104
30818,11.5757,48.1461,262,1173,1,26511104,-98
30819,11.5562,48.135,262,1000,1,26528512,-85
30820,11.5893,48.1419,262,2330,1,27128836,-79
30821,11.5699,48.1248,262,3705,1,25985284,-84
30822,11.5596,48.1534,262,1000,1,26516485,-90
30823,11.5612,48.1494,262,500,1,26516480,-79
30824,11.5722,48.1321,262,1000,1,27046656,-92
30825,11.5725,48.1536,262,1000,1,26526210,-89
30827,11.5509,48.1398,262,4414,1,26516740,-93
30828,11.5712,48.1492,262,1000,1,26517251,-87
30829,11.5851,48.1406,262,1835,1,26515717,-88
30830,11.5613,48.1519,262,1000,1,26526980,-83
30831,11.5727,48.1464,262,2522,1,28081152,-86
30832,11.5828,48.1322,262,2027,1,28686851,-105
30833,11.5764,48.1357,262,1000,1,31088898,-115
30834,11.5956,48.1462,262,1000,1,30363136,-79
30835,11.5643,48.1388,262,1298,1,30404099,-54
30836,11.5907,48.1476,262,1000,1,30363138,-96
30837,11.5829,48.1804,262,1000,1,27164928,-79
30838,11.5786,48.13,262,1000,1,28686849,-96
30839,11.5739,48.1316,262,1000,1,30053633,-82
